name	sp	mother	block	poss	xcoord	ycoord	treat	mort	Sday	surv	date_dead	date_ab	wden	dden	sla	dia	Lday	Labs
A51	sbec	SHOREABECCARINA_Sbec	A	51	1	3	18	0	84	1	NA	25.08.2015	0.96129326	0.386004857	NA	4.91	38	1
A52	sjoh	8m_SJoh_6	A	52	1.5	3	18	1	31	0	18.08.2015	30.07.2015	NA	NA	NA	2.77	12	1
A53	sjoh	8L_SJoh_50	A	53	2	3	0	0	84	1	NA	01.09.2015	0.883155501	0.348696869	NA	4.27	45	1
A54	spar	Sp_m_1	A	54	2.5	3	21	1	70	0	26.09.2015	22.07.2015	NA	NA	NA	4.4	4	1
A55	ssem	Ssem_ou	A	55	3	3	9	0	84	1	NA	04.08.2015	1.065302782	0.811947627	NA	4.04	17	1
A56	ssmi	Ssmi_4	A	56	3.5	3	3	0	84	1	NA	03.08.2015	0.943878463	0.465951743	0.169139912	7.32	16	1
A57	ptom	Ptom_4	A	57	0	3.5	9	0	84	1	NA	22.09.2015	0.939622977	0.581717944	NA	4.71	66	1
A58	sjoh	8m_SJoh_7	A	58	0.5	3.5	15	1	66	0	22.09.2015	28.07.2015	0.614500235	0.562646645	NA	3.98	10	1
A59	pmal	8L_Pmal_9	A	59	1	3.5	15	1	72	0	28.09.2015	01.08.2015	0.747712418	0.684407096	NA	4.78	14	1
A60	ptom	Ptom_2_RDC	A	60	1.5	3.5	9	1	44	0	31.08.2015	26.08.2015	NA	NA	NA	3.31	39	1
A61	slep	Slep_m_122	A	61	2	3.5	0	0	84	1	NA	NA	0.914551042	0.358832175	0.218245048	4.24	84	0
A62	sbec	Sbec_Sfr	A	62	2.5	3.5	9	1	32	0	19.08.2015	10.08.2015	NA	NA	NA	5.5	23	1
A63	ssem	Ssem_ou	A	63	3	3.5	3	0	84	1	NA	26.08.2015	0.98338094	0.506232147	0.201958104	4.35	39	1
A64	sxan	8L_Sxan_10	A	64	3.5	3.5	12	1	34	0	21.08.2015	09.08.2015	NA	NA	0.175729779	3.53	22	1
A65	sbec	SHOREABECCARINA_Sbec	A	65	0	4	15	0	84	1	NA	16.09.2015	1.065332649	0.666837695	NA	5.01	60	1
A66	dry	DL_Tawau	A	66	0.5	4	6	0	84	1	NA	NA	1.095583556	0.620974927	0.171280924	4.42	84	0
A67	ssmi	Ssmi_5	A	67	1	4	18	0	84	1	NA	14.09.2015	0.919846886	0.513281522	0.175729779	4.66	58	1
A68	ssem	SS	A	68	1.5	4	21	1	79	0	05.10.2015	11.08.2015	NA	NA	NA	4.18	24	1
A69	dry	DL_m_7	A	69	2	4	0	0	84	1	NA	NA	1.069787549	0.461771245	0.145496699	5.26	84	0
A70	dry	DL_m_6	A	70	2.5	4	0	0	84	1	NA	NA	1.05863863	0.451549967	NA	2.74	84	0
A71	pmal	Pmal_Tawau	A	71	3	4	12	1	72	0	28.09.2015	01.09.2015	0.929516156	0.643227859	NA	4.22	45	1
A72	sxan	9K_Sxan_29	A	72	3.5	4	0	0	84	1	NA	NA	1.078908115	0.48053401	0.147078185	2.94	84	0
A73	dry	Dl_m_4	A	73	0	4.5	12	0	84	1	NA	NA	1.059906138	0.534646176	0.182853959	5.78	84	0
A74	sbec	SHOREABECCARINA_Sbec	A	74	0.5	4.5	0	0	84	1	NA	NA	0.955092743	0.35437683	0.161085631	4.9	84	0
A75	ssem	SS	A	75	1	4.5	12	0	84	1	NA	25.08.2015	1.151207116	0.910207539	NA	2.4	38	1
A76	ssmi	Ssmi_19	A	76	1.5	4.5	6	0	84	1	NA	NA	0.986546651	0.528939218	0.2081722	4.42	84	0
A77	ssmi	9H_Ssmi_4	A	77	2	4.5	21	1	26	0	13.08.2015	26.07.2015	NA	NA	NA	5.47	8	1
A78	sjoh	SJ_m_4	A	78	2.5	4.5	12	1	69	0	25.09.2015	04.08.2015	0.741741742	0.691891892	NA	3.79	17	1
A79	ptom	Ptom_2_RDC	A	79	3	4.5	0	0	84	1	NA	NA	1.036860269	0.506057713	0.185358808	4.25	84	0
A80	sjoh	8m_SJoh_7	A	80	3.5	4.5	9	0	84	1	NA	07.08.2015	0.911789797	0.5052892	0.175729779	5.64	20	1
A81	ssmi	Ssmi_3A	A	81	0	5	9	0	84	1	NA	22.08.2015	1.070541328	0.583499463	0.187933236	3.35	35	1
A82	sjoh	8m_SJoh_7	A	82	0.5	5	12	1	30	0	17.08.2015	28.07.2015	NA	NA	NA	3.08	10	1
A83	slep	8Q_Slep_4	A	83	1	5	12	0	84	1	NA	NA	0.880310881	0.428941525	0.193302757	4.22	84	0
A84	slep	SL_m_6	A	84	1.5	5	3	0	84	1	NA	NA	0.904273372	0.485266893	0.198988132	4.53	84	0
A85	dry	DL_m_7	A	85	2	5	18	0	84	1	NA	NA	1.066758116	0.653063557	0.169139912	4.36	84	0
A86	ptom	Pt_m_1	A	86	2.5	5	21	1	49	0	05.09.2015	26.07.2015	NA	NA	NA	4.39	8	1
A87	ssem	Ssem_ou	A	87	3	5	9	0	84	1	NA	26.08.2015	1.115359856	0.444959444	0.145496699	4.3	39	1
A88	sxan	Sxan_3_RDC	A	88	3.5	5	15	1	31	0	18.08.2015	16.08.2015	NA	NA	NA	1.95	29	1
A89	ptom	Ptom_m_3	A	89	0	5.5	3	0	84	1	NA	01.09.2015	1.037264358	0.787921964	0.173476833	4.3	45	1
A90	ptom	Ptom_3	A	90	0.5	5.5	3	1	30	0	17.08.2015	24.07.2015	NA	NA	NA	3.49	6	1
A91	sxan	8m_Sxan_3	A	91	1	5.5	15	1	34	0	21.08.2015	09.08.2015	NA	NA	NA	4.34	22	1
A92	sxan	8n_Sxan	A	92	1.5	5.5	21	1	27	0	14.08.2015	03.08.2015	NA	NA	NA	2.85	16	1
A93	ssem	SS	A	93	2	5.5	15	1	70	0	26.09.2015	16.08.2015	NA	NA	NA	3.28	29	1
A94	spar	9Q_Spar_10	A	94	2.5	5.5	18	1	54	0	10.09.2015	19.08.2015	NA	NA	NA	4.34	32	1
A95	pmal	Pmal_m_2	A	95	3	5.5	12	0	84	1	NA	28.09.2015	0.988753936	0.708052182	NA	3.21	72	1
A96	ptom	9J_Ptom_14	A	96	3.5	5.5	18	0	84	1	NA	29.07.2015	0.737028946	0.675314036	NA	3.14	11	1
A97	sxan	Sxan_3_RDC	A	97	0	6	0	0	84	1	NA	NA	1.08254717	0.53628447	0.126459748	2.71	84	0
A98	sbec	Sbec_Sfr	A	98	0.5	6	21	1	26	0	13.08.2015	04.08.2015	NA	NA	NA	4.65	17	1
A99	spar	Sp_m_4	A	99	1	6	6	0	84	1	NA	25.08.2015	0.954106618	0.501888904	0.193302757	3.68	38	1
A100	sxan	8L_Sxan_10	A	100	1.5	6	12	1	42	0	29.08.2015	31.07.2015	NA	NA	NA	3.26	13	1
A101	ssem	SS	A	101	2	6	0	0	84	1	NA	01.09.2015	1.0513992	0.464306111	0.200462118	2.7	45	1
A102	pmal	8L_Pmal_9	A	102	2.5	6	6	1	44	0	31.08.2015	06.08.2015	NA	NA	NA	3.41	19	1
A103	dry	DL_m_7	A	103	3	6	15	0	84	1	NA	NA	1.098804008	0.689042129	0.163026422	4.74	84	0
A104	sbec	SHOREABECCARINA_Sbec	A	104	3.5	6	3	0	84	1	NA	NA	0.983827188	0.48642841	0.167051765	5.65	84	0
A105	ssem	SS	A	105	0	6.5	6	0	84	1	NA	13.08.2015	1.109030837	0.897852423	NA	3.23	26	1
A106	sbec	SHOREABECCARINA_Sbec	A	106	0.5	6.5	6	0	84	1	NA	NA	1.03	0.579021739	0.182853959	4.9	84	0
A107	pmal	12H_Pmal_1	A	107	1	6.5	9	0	84	1	NA	NA	1.06879308	0.788349777	0.169139912	4.03	84	0
A108	sbec	Sbec_Sfr	A	108	1.5	6.5	15	1	82	0	08.10.2015	29.08.2015	0.885802837	0.504708547	NA	4.63	42	1
A109	ptom	Pt_m_1	A	109	2	6.5	15	1	43	0	30.08.2015	31.07.2015	NA	NA	NA	4.17	13	1
A110	dry	DL_m_3	A	110	2.5	6.5	9	0	84	1	NA	NA	1.106748303	0.642885665	0.130107625	5.06	84	0
A111	spar	SP_m_7	A	111	3	6.5	12	0	84	1	NA	12.09.2015	0.972171066	0.553100061	NA	3.19	56	1
A112	spar	Sp_m_3	A	112	3.5	6.5	3	0	84	1	NA	02.09.2015	1.017121047	0.553653217	0.205018076	3.91	46	1
A113	slep	SL_maliau	A	113	0	7	15	0	84	1	NA	18.09.2015	0.950244129	0.554057196	0.26021525	3.3	62	1
A114	slep	8P_Slep_4	A	114	0.5	7	12	0	84	1	NA	08.08.2015	0.881588396	0.457130547	NA	6.58	21	1
A115	ssmi	Ssmi_4	A	115	1	7	0	0	84	1	NA	25.08.2015	1.022016114	0.428798951	0.153763557	6.46	38	1
A116	ptom	8L_Ptom_6	A	116	1.5	7	12	1	31	0	18.08.2015	22.07.2015	NA	NA	NA	4.03	4	1
A117	sjoh	SJoh_m	A	117	2	7	6	0	84	1	NA	NA	0.926621661	0.649104784	NA	3.86	84	0
A118	ssmi	Ssmi_Tawau	A	118	2.5	7	15	0	84	1	NA	22.08.2015	0.904042149	0.46683365	0.182853959	5.81	35	1
A119	ptom	8Pt_m_6	A	119	3	7	18	1	42	0	29.08.2015	27.07.2015	NA	NA	NA	4.34	9	1
A120	dry	DL_Tawau	A	120	3.5	7	3	0	84	1	NA	NA	1.069422572	0.481627297	0.167051765	4.4	84	0
A121	ptom	Pt_m_2	A	121	0	7.5	0	0	84	1	NA	NA	1.041839791	0.770219345	0.171280924	4.56	84	0
A122	sxan	Sxan_3_RDC	A	122	0.5	7.5	9	1	35	0	22.08.2015	12.08.2015	NA	NA	NA	2.45	25	1
A123	pmal	12H_Pmal_1	A	123	1	7.5	3	0	84	1	NA	25.09.2015	1.170964126	0.795964126	NA	2.99	69	1
A124	ssmi	Ssmi_Tawau	A	124	1.5	7.5	3	0	84	1	NA	01.09.2015	0.957660592	0.520268866	0.233296431	5.11	45	1
A125	sbec	SHOREABECCARINA_Sbec	A	125	2	7.5	6	0	84	1	NA	22.08.2015	1.014293568	0.445116364	0.185358808	5.48	35	1
A126	sjoh	8m_SJoh_7	A	126	2.5	7.5	21	1	30	0	17.08.2015	29.07.2015	NA	NA	NA	3.08	11	1
A127	sjoh	ou_SJoh_23A	A	127	3	7.5	15	1	43	0	30.08.2015	28.07.2015	NA	NA	NA	4.07	10	1
A128	ssmi	Ssmi_5	A	128	3.5	7.5	12	1	66	0	22.09.2015	01.09.2015	0.611332448	0.428655747	0.2081722	4.9	45	1
A129	ssmi	Ssmi_Tawau	A	129	0	8	6	0	84	1	NA	NA	1.013034943	0.547389085	NA	4.8	84	0
A130	sjoh	S.Joh_m_7	A	130	0.5	8	3	0	84	1	NA	23.07.2015	0.806163985	0.584997092	0.190580183	4.62	5	1
A131	ssmi	Ssmi_Tawau	A	131	1	8	0	0	84	1	NA	NA	1.013364838	0.384774422	0.163026422	3.98	84	0
A132	spar	9Q_Spar_10	A	132	1.5	8	18	1	36	0	23.08.2015	08.08.2015	NA	NA	NA	3.77	21	1
A133	sxan	9K_Sxan_2	A	133	2	8	21	1	31	0	18.08.2015	19.08.2015	NA	NA	NA	2.94	32	1
A134	dry	DL_m_1	A	134	2.5	8	21	0	84	1	NA	NA	1.084730265	0.58955603	0.165014549	5.65	84	0
A135	ptom	8Pt_m_6	A	135	3	8	12	1	31	0	18.08.2015	25.08.2015	NA	NA	NA	3.38	38	1
A136	pmal	Pm_m_6	A	136	3.5	8	18	1	32	0	19.08.2015	11.08.2015	1.056380023	0.617808498	NA	3.71	24	1
A137	ssem	SS	A	137	0	8.5	12	1	67	0	23.09.2015	07.08.2015	0.595457159	NA	NA	3.66	20	1
A138	spar	9P_Spar_2	A	138	0.5	8.5	21	1	26	0	13.08.2015	27.07.2015	NA	NA	NA	3.23	9	1
A139	ssem	Ssem_ou	A	139	1	8.5	21	1	44	0	31.08.2015	07.08.2015	NA	NA	NA	4.34	20	1
A140	slep	12H_Slep_8	A	140	1.5	8.5	21	0	84	1	NA	17.09.2015	NA	NA	NA	4.35	61	1
A141	sxan	11H_Sxan_1	A	141	2	8.5	9	0	84	1	NA	10.08.2015	0.968219802	0.605469739	NA	4.53	23	1
A142	ssem	SS	A	142	2.5	8.5	18	1	55	0	11.09.2015	10.08.2015	NA	NA	NA	3.02	23	1
A143	ptom	9J_Ptom_14	A	143	3	8.5	21	1	26	0	13.08.2015	29.07.2015	NA	NA	NA	2.62	11	1
A144	pmal	All_Pmal_1	A	144	3.5	8.5	0	0	84	1	NA	NA	1.097768936	0.574534603	0.172738634	4.8	84	0
A145	ssmi	9H_Ssmi_4	A	145	0	9	18	0	84	1	NA	10.08.2015	1.001927068	0.521642455	0.187933236	6.25	23	1
A146	sxan	Sxan_1	A	146	0.5	9	6	1	51	0	07.09.2015	10.08.2015	NA	NA	NA	4.35	23	1
A147	spar	Sp_m_4	A	147	1	9	3	0	84	1	NA	NA	1.02298241	0.517811367	0.171280924	3.25	84	0
A148	dry	DL_Tawau	A	148	1.5	9	9	0	84	1	NA	NA	1.11271165	0.58895628	0.155530954	5.39	84	0
A149	sxan	9K_Sxan_2	A	149	2	9	3	0	84	1	NA	NA	1.061177739	NA	0.147078185	4.17	84	0
A150	pmal	Pm_m_5	A	150	2.5	9	21	1	42	0	29.08.2015	24.07.2015	NA	NA	NA	3.88	6	1
A151	ssmi	Ssmi_Tawau	A	151	3	9	9	0	84	1	NA	28.07.2015	0.948402002	0.495379284	0.237389351	5.83	10	1
A152	spar	9P_Spar_2	A	152	3.5	9	9	1	44	0	31.08.2015	19.08.2015	NA	NA	NA	2.79	32	1
A153	sjoh	SJoh_m	A	153	0	9.5	21	1	35	0	22.08.2015	07.08.2015	NA	NA	NA	4.12	20	1
A154	ssmi	Ssmi_m_2	A	154	0.5	9.5	21	1	31	0	18.08.2015	07.08.2015	NA	NA	0.159190506	3.89	20	1
A155	sxan	8m_Sxan_3	A	155	1	9.5	6	1	45	0	01.09.2015	17.08.2015	NA	NA	NA	4.29	30	1
A156	pmal	All_Pmal_1	A	156	1.5	9.5	9	0	84	1	NA	NA	1.011465472	0.796520822	0.165014549	3.97	84	0
A157	sbec	Sbec_Sfr	A	157	2	9.5	3	0	84	1	NA	25.07.2015	1.085106383	0.549328969	0.165014549	3.57	7	1
A158	slep	SL_maliau	A	158	2.5	9.5	15	0	84	1	NA	NA	0.921892542	0.475380914	0.241628446	4.24	84	0
A159	pmal	Pm_m_4	A	159	3	9.5	3	0	84	1	NA	25.08.2015	1.033613445	0.754533392	NA	3.8	38	1
A160	spar	Sp_m_1	A	160	3.5	9.5	6	0	84	1	NA	01.09.2015	0.963375496	0.461110062	0.196104246	5.06	45	1
B1	ssmi	Ssmi_19	B	1	4.5	0	12	0	84	1	NA	11.08.2015	0.937205189	0.451061321	NA	6.9	24	1
B2	spar	Spar_1	B	2	5	0	15	1	45	0	01.09.2015	16.08.2015	NA	NA	NA	4.04	29	1
B3	pmal	Pm_m_6	B	3	5.5	0	6	0	84	1	NA	NA	0.993765874	0.525975525	0.143948862	4.48	84	0
B4	sbec	Sbec_Sfr	B	4	6	0	3	0	84	1	NA	16.08.2015	1.029742389	0.532864949	NA	4.37	29	1
B5	spar	Sp_m_1	B	5	6.5	0	3	0	84	1	NA	NA	0.927146395	0.395982389	0.193302757	4.92	84	0
B6	ptom	Pt_m_1	B	6	7	0	9	0	84	1	NA	29.08.2015	1.052829099	0.464491917	0.180415906	3.68	42	1
B7	pmal	9L_Pmal_7	B	7	7.5	0	0	0	84	1	NA	NA	0.970564951	0.320331054	0.161085631	3.57	84	0
B8	ssmi	Ssmi_4	B	8	8	0	3	0	84	1	NA	NA	0.975536481	0.474310239	0.218245048	4.23	84	0
B9	sjoh	8L_SJoh_50	B	9	4.5	0.5	3	0	84	1	NA	29.08.2015	0.958357138	0.449819082	0.182853959	4.46	42	1
B10	spar	9P_Spar_2	B	10	5	0.5	3	0	84	1	NA	NA	1.033140452	0.468174645	NA	3.07	84	0
B11	sbec	SHOREABECCARINA_Sbec	B	11	5.5	0.5	0	0	84	1	NA	NA	0.981724912	0.329977557	0.165014549	5.08	84	0
B12	sxan	8L_Sxan_10	B	12	6	0.5	3	0	84	1	NA	16.09.2015	1.033811368	0.575630692	0.159190506	3.64	60	1
B13	sjoh	SJoh_m	B	13	6.5	0.5	0	0	84	1	NA	NA	0.92992126	0.400944882	0.196104246	3.27	84	0
B14	pmal	Pm_m_3	B	14	7	0.5	0	0	84	1	NA	12.09.2015	1.051098978	0.517709646	0.185358808	3.5	56	1
B15	sxan	ou_sxan_2	B	15	7.5	0.5	21	1	30	0	17.08.2015	17.08.2015	NA	NA	NA	3.17	30	1
B16	ptom	9J_Ptom_14	B	16	8	0.5	12	0	84	1	NA	NA	1.162270989	0.75941212	0.143948862	3.33	84	0
B17	ptom	Ptom_m_3	B	17	4.5	1	21	0	84	1	NA	17.08.2015	0.990123029	0.6071738	NA	4.25	30	1
B18	ptom	Ptom_m_3	B	18	5	1	15	1	37	0	24.08.2015	19.08.2015	NA	NA	NA	3.94	32	1
B19	sjoh	ou_SJoh_23A	B	19	5.5	1	18	1	70	0	26.09.2015	23.07.2015	NA	NA	NA	4.04	5	1
B20	spar	Sp_m_1	B	20	6	1	12	0	84	1	NA	NA	0.954047517	0.445582586	0.188807344	3.99	84	0
B21	ssmi	Ssmi_Tawau	B	21	6.5	1	0	0	84	1	NA	28.08.2015	0.951331147	0.461820124	0.190580183	3.93	41	1
B22	ssem	Ssem_ou	B	22	7	1	6	0	84	1	NA	NA	1.088431512	0.674378992	0.173476833	3.18	84	0
B23	ssmi	Ssmi_3A	B	23	7.5	1	15	0	84	1	NA	31.08.2015	0.990079624	0.464821825	NA	4.39	44	1
B24	sxan	8m_Sxan_3	B	24	8	1	9	1	41	0	28.08.2015	31.08.2015	NA	NA	NA	3.87	44	1
B25	pmal	12H_Pmal_1	B	25	4.5	1.5	9	0	84	1	NA	NA	1.072847682	0.609672888	0.21142489	3.62	84	0
B26	sxan	8m_Sxan_3	B	26	5	1.5	6	1	35	0	22.08.2015	15.08.2015	NA	NA	NA	3.44	28	1
B27	dry	DL_m_3	B	27	5.5	1.5	0	0	84	1	NA	NA	1.100479197	0.508404959	0.177458269	4.24	84	0
B28	sxan	Sxan_1	B	28	6	1.5	18	1	39	0	26.08.2015	22.08.2015	NA	NA	NA	3.61	35	1
B29	ssem	SS	B	29	6.5	1.5	12	0	84	1	NA	10.08.2015	1.071140732	0.490855549	NA	3.4	23	1
B30	pmal	Pm_m_3	B	30	7	1.5	9	0	84	1	NA	15.09.2015	1.055264078	0.510318293	0.212254008	3.17	59	1
B31	ssem	SS	B	31	7.5	1.5	0	0	84	1	NA	NA	1.075563871	0.535703149	0.153763557	3.3	84	0
B32	sbec	Sbec_Sfr	B	32	8	1.5	21	1	26	0	13.08.2015	26.07.2015	NA	NA	NA	3.84	8	1
B33	pmal	9L_Pmal_7	B	33	4.5	2	15	1	40	0	27.08.2015	31.07.2015	NA	NA	NA	4.74	13	1
B34	slep	8Q_Slep_4	B	34	5	2	18	0	84	1	NA	23.09.2015	0.9585201	0.470366418	0.187933236	4.76	67	1
B35	sxan	11H_Sxan_7	B	35	5.5	2	12	1	40	0	27.08.2015	17.08.2015	NA	NA	NA	5.36	30	1
B36	sbec	SHOREABECCARINA_Sbec	B	36	6	2	9	0	84	1	NA	17.09.2015	1.063506982	0.536654135	0.159190506	5.05	61	1
B37	dry	DL_m_7	B	37	6.5	2	6	0	84	1	NA	NA	1.095631166	0.583048118	0.138781467	5.12	84	0
B38	sbec	SHOREABECCARINA_Sbec	B	38	7	2	3	0	84	1	NA	26.08.2015	0.993326157	0.719483315	0.218245048	3.82	39	1
B39	sbec	SHOREABECCARINA_Sbec	B	39	7.5	2	15	0	84	1	NA	17.08.2015	0.74649194	0.434303607	0.169139912	5.88	30	1
B40	dry	DL_m_3	B	40	8	2	3	0	84	1	NA	NA	1.097673795	0.606891466	0.13531193	4.75	84	0
B41	ssmi	Ssmi_m_2	B	41	4.5	2.5	21	1	41	0	28.08.2015	26.08.2015	NA	NA	NA	4.27	39	1
B42	slep	8Q_Slep_4	B	42	5	2.5	18	0	84	1	NA	13.09.2015	0.937904611	0.408508389	0.193302757	5.11	57	1
B43	sbec	SHOREABECCARINA_Sbec	B	43	5.5	2.5	18	0	84	1	NA	21.08.2015	1.075010304	0.588405001	0.169139912	4.6	34	1
B44	ptom	Ptom_3_rdc	B	44	6	2.5	0	0	84	1	NA	NA	1.064218028	0.584775628	NA	4.31	84	0
B45	ssmi	Ssmi_5	B	45	6.5	2.5	9	0	84	1	NA	12.08.2015	1.021402277	0.492680421	0.201958104	5.76	25	1
B46	pmal	Pmal_Tawau	B	46	7	2.5	21	1	32	0	19.08.2015	30.07.2015	NA	NA	NA	4.79	12	1
B47	spar	9P_Spar_2	B	47	7.5	2.5	12	1	30	0	17.08.2015	10.08.2015	NA	NA	NA	2.85	23	1
B48	spar	SP_m_7	B	48	8	2.5	9	0	84	1	NA	29.08.2015	0.979941816	0.460113306	0.198988132	3.31	42	1
